date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:41	6826/6826	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2013%20Jun%202019%2014:23:52%20GMT	https://fonts.intercomcdn.com/proxima-nova/vietnamese/proxima-nova-vietnamese-semibold.eot?	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/vietnamese/proxima-nova-vietnamese-semiboldd41d.eot	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:41	5776/5776	---M--	200	added ('OK')	font/woff2	etag:%22caf77b4fa1f0e1b47708787a3c38baa0%22	https://fonts.intercomcdn.com/proxima-nova/vietnamese/proxima-nova-vietnamese-semibold.woff2	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/vietnamese/proxima-nova-vietnamese-semibold.woff2	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:41	8100/8100	---M--	200	added ('OK')	font/woff	etag:%22371d2c37a049ec06f231f93b3d482414%22	https://fonts.intercomcdn.com/proxima-nova/vietnamese/proxima-nova-vietnamese-semibold.woff	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/vietnamese/proxima-nova-vietnamese-semibold.woff	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:42	15478/15478	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2013%20Jun%202019%2014:23:51%20GMT	https://fonts.intercomcdn.com/proxima-nova/latin-ext/proxima-nova-latin-ext-semibold.eot	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/latin-ext/proxima-nova-latin-ext-semibold.eot	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:42	15478/15478	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2013%20Jun%202019%2014:23:51%20GMT	https://fonts.intercomcdn.com/proxima-nova/latin-ext/proxima-nova-latin-ext-semibold.eot?	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/latin-ext/proxima-nova-latin-ext-semiboldd41d.eot	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:42	12996/12996	---M--	200	added ('OK')	font/woff2	etag:%226895b3b7d25402af182efd3dc9d5fc6a%22	https://fonts.intercomcdn.com/proxima-nova/latin-ext/proxima-nova-latin-ext-semibold.woff2	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/latin-ext/proxima-nova-latin-ext-semibold.woff2	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:43	18580/18580	---M--	200	added ('OK')	font/woff	etag:%22169d6c9ea1e4b7e7743fd8575ea28c6b%22	https://fonts.intercomcdn.com/proxima-nova/latin-ext/proxima-nova-latin-ext-semibold.woff	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/latin-ext/proxima-nova-latin-ext-semibold.woff	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:43	14121/14121	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2013%20Jun%202019%2014:23:51%20GMT	https://fonts.intercomcdn.com/proxima-nova/latin/proxima-nova-latin-semibold.eot	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/latin/proxima-nova-latin-semibold.eot	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:43	14121/14121	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2013%20Jun%202019%2014:23:51%20GMT	https://fonts.intercomcdn.com/proxima-nova/latin/proxima-nova-latin-semibold.eot?	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/latin/proxima-nova-latin-semiboldd41d.eot	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:44	12280/12280	---M--	200	added ('OK')	font/woff2	etag:%227db94101edae29203150575d6c82d799%22	https://fonts.intercomcdn.com/proxima-nova/latin/proxima-nova-latin-semibold.woff2	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/latin/proxima-nova-latin-semibold.woff2	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:44	16524/16524	---M--	200	added ('OK')	font/woff	etag:%223ac030768ed18321ab58df712d046e3b%22	https://fonts.intercomcdn.com/proxima-nova/latin/proxima-nova-latin-semibold.woff	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/latin/proxima-nova-latin-semibold.woff	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:35:44	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2029%20Jan%202020%2016:35:42%20GMT	https://fonts.intercomcdn.com/robots.txt		(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
